id, objecttype, name, description, status, lastmodifiedby, lastmodifieddatetime,domain
100000,"Scenario","Attack Scenario","Attack Scenario is Recordtype for Scenario Objecttype. An Attack Scenario is root element of Attack Tree","Active","echasin","2017-01-22 00:00:00","MRK"
100001,"Pathway","Attack:Vector","An Attack Vector is Recordtype for Objecttype Pathway.  An Attack Vector is a node element of Attack Tree","Active","echasin","2017-01-22 00:00:00","MRK"
100002,"Target","Target:Facilities","Terminals, Stations, Hubs, Fuel Depots, Storate Facilities, Headquarters Buildings, and Operations, Communications, & Dispatch Centers. Facilities may be targets or the path to harm conveyances or other sector infrastructure.","Active","echasin","2017-01-23 00:00:00","MRK"
100003,"Target","Target:Conveyances","Planes, Trains, Boats, & Automotive Vehicles. Conveyances may be targets or weapons depending on size, speed capability, or what they are carrying.","Active","echasin","2017-01-23 00:00:00","MRK"
100004,"Target","Target:Pathway (Route)","Air, Ground, Underground, and Water mediums for travel. Pathways may be corrupted to reroute, damage, disable or delay conveyances.","Active","echasin","2017-01-23 00:00:00","MRK"
100005,"Target","Target:Intermediaries","Brokers, agents, consolidators, vendors and contractors who facilitate travel of passengers and cargo. Intermediaries provide support function and present insider threat opportunities.","Active","echasin","2017-01-23 00:00:00","MRK"
100006,"Target","Target:Security Control Points","Locations not part of the transportation system, but are either at risk from transportation or pose a risk to transportation. For exampe: an identified MANPADS launch site or the nexus between a TIH rail route and a stadium.","Active","echasin","2017-01-23 00:00:00","MRK"
100007,"Weapon","Weapon:Chemical Agent","Release of weaponized or industrial chemicals in populated areas.  Releaes could be from a transportation medium such a a rail car or a truck or an attack on a transportation passenger facility such as a train station,cruise terminal or airport.","Active","echasin","2017-01-23 00:00:00","MRK"
100008,"Weapon","Weapon:Cyber Attack (Hack)","Attacks on information technology systems to disrupt transportation operations, create a diversion for another attack, remotely comandier traffic control or routing systems or information theft to inform a later attack.","Active","echasin","2017-01-23 00:00:00","MRK"
100009,"Weapon","Weapon:Explosives (Bombs)","Explosive devices may be implanted in automotive vehicles car bombs, planted on the roadside to detonate near traffic, or strapped to the bodies of individuals for suicide attacks.","Active","echasin","2017-01-23 00:00:00","MRK"
100010,"Weapon","Weapon:Hostage Taking","Terrorist operation used to abduct individuals (kidnap), hold groups of individuals to occupy a space or trade for political concesions, or hijack a conveyance for the pruposes of a kinetic attack.","Active","echasin","2017-01-23 00:00:00","MRK"
100011,"Weapon","Weapon: Kinetic  Weapon","The use of a transportation vehicle to ram into a target.  If the vehicle has enough flammable liquid in a fuel of cargo tank the collision can have an incendiary or or explosive effect in addition to the damage caused by the initial collision.","Active","echasin","2017-01-23 00:00:00","MRK"
100012,"Weapon","Weapon:Stand-Off Weapon","Remote attacks using long range weapons such as sniper rifles, rocket launchers or small artillery.","Active","echasin","2017-01-23 00:00:00","MRK"
100013,"Weapon","Weapon:Radiological Materials","Use of radiological materials to cause mass casualties and/or environmental contamination. Casualties may result from massive explosion (nuclear device) or widespread illness resulting from radiation poisoning.","Active","echasin","2017-01-23 00:00:00","MRK"
100014,"Weapon","Weapon:Sabatoge","Actively damaging components to cause failure of transportation system - particularly conveyances.","Active","echasin","2017-01-23 00:00:00","MRK"
100015,"Countermeasure","Counter Measure:Technology","Counter Measure:Technology are applicable to Attack Methods","Active","echasin","2017-01-23 00:00:00","MRK"
100016,"Countermeasure","Counter Measure:Personnel","Counter Measure:Personnel are applicable to Attack Methods","Active","echasin","2017-01-23 00:00:00","MRKC"
100017,"Countermeasure","Counter Measure:Process","Counter Measure:Process are applicable to Attack Methods","Active","echasin","2017-01-23 00:00:00","MRK"
100018,"Pathway","Attack:Method","An Attack Method  is Recordtype for Objecttype Pathway.  An Attack Method is sub-node element of an Attack Vector","Active","echasin","2017-01-22 00:00:00","MRK"
100019,"Pathway","Attack:Goal","An Attack:Goal  is Recordtype for Objecttype Pathway.  An Attack Goal  is the  root element of Attack Tree","Active","echasin","2017-01-22 00:00:00","MRK"
100020,"Countermeasure","Counter Measure:Infrastructure","Counter Measure:Infrastructure  are applicable to Attack Methods","Active","echasin","2017-01-23 00:00:00","MRK"
100022,"Countermeasure","Counter Measure:Policy","Counter Measure:Policy are applicable to Attack Methods","Active","echasin","2017-01-22 00:00:00","MRK"
